City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,23.77,51,0,7.15,AU,1707708077
1,qarqaraly,49.4058,75.4742,-22.71,99,86,3.62,KZ,1707708078
2,yellowknife,62.456,-114.3525,-13.1,98,40,3.09,CA,1707708079
3,waitangi,-43.9535,-176.5597,15.46,76,90,1.34,NZ,1707708080
4,port-aux-francais,-49.35,70.2167,6.05,72,7,9.67,TF,1707708080
5,aasiaat,68.7098,-52.8699,-27.98,99,96,3.04,GL,1707708081
6,adamstown,-25.066,-130.1015,24.48,92,59,9.42,PN,1707708082
7,neyshabur,36.2133,58.7958,7.43,31,0,0.42,IR,1707708082
8,bilibino,68.0546,166.4372,-36.17,97,53,0.85,RU,1707708083
9,bethel,41.3712,-73.414,5.52,73,40,2.57,US,1707707880
10,smithers,54.7804,-127.1743,-4.82,100,100,1.03,CA,1707708085
11,grytviken,-54.2811,-36.5092,4.84,74,1,3.38,GS,1707708085
12,hamilton,39.1834,-84.5333,4.41,75,0,3.6,US,1707708059
13,warmbad,-28.45,18.7333,29.78,15,99,1.74,NA,1707708087
14,usinsk,65.9939,57.5281,-34.4,100,96,2.24,RU,1707708087
15,fort bragg,35.139,-79.006,15.75,95,100,2.06,US,1707708088
16,capayan,-28.761,-66.0502,32.11,47,43,5.03,AR,1707708089
17,chinde,26.8418,88.0763,15.23,32,0,1.09,NP,1707708089
18,luderitz,-26.6481,15.1594,17.06,96,3,3.27,NA,1707708090
19,puerto ayora,-0.7393,-90.3518,26.97,94,56,2.24,EC,1707708091
20,kapa'a,22.0752,-159.319,26.18,71,75,3.09,US,1707708091
21,longyearbyen,78.2186,15.6401,-9.09,73,40,4.12,SJ,1707708092
22,amungan,15.3652,119.9582,25.5,63,5,2.5,PH,1707708093
23,west island,-12.1568,96.8225,29.99,74,40,4.63,CC,1707708093
24,dudinka,69.4058,86.1778,-37.4,99,23,1.79,RU,1707708094
25,taghazout,30.5426,-9.7112,13.43,76,0,1.82,MA,1707708094
26,puerto natales,-51.7236,-72.4875,6.59,74,78,5.4,CL,1707708095
27,whitehorse,60.7161,-135.0538,-0.57,37,40,2.06,CA,1707708096
28,iskateley,67.6803,53.1512,-33.32,100,24,1.79,RU,1707708096
